tweet_id,created_at,tweets,likes,date,time,Hashtags,#snydercut,#zacksnydersjusticeleague,#borglife
1346579800924835843,2021-01-05 22:10:17,RT @NAACP: Today is the #GASenateRunoff election – make sure to go to the polls by 7pm – check your voting location here - https://t.co/idx…,0,2021-01-05,22:10:17,#gasenaterunoff,0,0,0
1346579786764791809,2021-01-05 22:10:14,RT @NAACP: 🗣 #Georgia: Forgot your photo ID?  You should vote a provisional ballot and then you have 3 days to show your ID at the County R…,0,2021-01-05,22:10:14,#georgia,0,0,0
1346579765461983232,2021-01-05 22:10:08,RT @NAACP: 🗣 #Georgia: Forget to mail your absentee ballot? Bring it to your polling place and vote in person today on a regular ballot! #G…,0,2021-01-05,22:10:08,#georgia #g,0,0,0
1346515723019931648,2021-01-05 17:55:40,"RT @WarnerMedia: Georgia residents:
Please go out and vote today.
Your vote is your voice.",0,2021-01-05,17:55:40,,0,0,0
1346490852353433600,2021-01-05 16:16:50,"RT @BernieSanders: A $15 minimum wage, fighting climate change and expanding health care are at stake in today’s Senate runoffs. 

Phoneban…",0,2021-01-05,16:16:50,,0,0,0
1346489901924167689,2021-01-05 16:13:03,"RT @AllCharisma: Let’s go Georgia! Flip the Senate.
@ossoff @ReverendWarnock 
#flipthesenate #georgiarunoff 
@staceyabrams https://t.co/UCL…",0,2021-01-05,16:13:03,#flipthesenate #georgiarunoff,0,0,0
1346475849109839874,2021-01-05 15:17:13,RT @ReverendWarnock: Don’t forget your I.D. when you go to the polls today! https://t.co/QUz1psXMD0,0,2021-01-05,15:17:13,,0,0,0
1346475781363437568,2021-01-05 15:16:57,RT @ossoff: POLLS ARE OPEN. VOTE.,0,2021-01-05,15:16:57,,0,0,0
1345794354179416067,2021-01-03 18:09:12,Facts on wax. https://t.co/7p1DAtOydE https://t.co/sXP8eEXssX,556,2021-01-03,18:09:12,,0,0,0
1345531935410548736,2021-01-03 00:46:26,"RT @talaashe: What is Battleground Georgia? An org talking to Black voters who did not participate in Nov. BG has *already* turned out 40,0…",0,2021-01-03,00:46:26,,0,0,0
1345424905358123009,2021-01-02 17:41:08,"Some folks out there think it’s cool to belittle food service workers in an attempt to mock my speaking out about Walter Hamada, Joss Whedon, Toby Emmerich, Geoff Johns, and Jon Berg.

There is ZERO shame in keeping people fed.

I’d go back to food service in a heartbeat.

A&gt;E",5425,2021-01-02,17:41:08,,0,0,0
1345388779578810370,2021-01-02 15:17:35,"RT @ninaturner: I just reached 420K followers 💜🔥

Sounds like a good time to remind you that the criminalization of marijuana has been a di…",0,2021-01-02,15:17:35,,0,0,0
1345082469876432899,2021-01-01 19:00:25,https://t.co/rWHSK3sm8T,437,2021-01-01,19:00:25,,0,0,0
1344758816425070594,2020-12-31 21:34:20,"What the fans say is canon—is canon. 

#RestoreTheSnyderVerse https://t.co/Fx4PrcV3R5",10615,2020-12-31,21:34:20,#restorethesnyderverse,0,0,0
1344754948198825987,2020-12-31 21:18:58,RT @ZackSnyder: Get ready 2021 https://t.co/HeY3pluAx4,0,2020-12-31,21:18:58,,0,0,0
1344680411318935552,2020-12-31 16:22:47,"The Senate runoff in GA is going to be the most important election of the New Year.

If you can cast your vote early for @ReverendWarnock and @ossoff, please do!🙏🏽 https://t.co/3T8lgViVom",559,2020-12-31,16:22:47,,0,0,0
1344660634378629124,2020-12-31 15:04:12,RT @GovMurphy: New Jersey is on a path to a $15/hr minimum wage – to uplift working families and strengthen our economy. Through our action…,0,2020-12-31,15:04:12,,0,0,0
1344324757290950657,2020-12-30 16:49:33,"Walter Hamada is the most dangerous kind of enabler. 

His lies, and WB PR’s failed Sept 4th hit-piece, sought to undermine the very real issues of the Justice League investigation. 

I will not participate in any production associated with him.

A&gt;E

https://t.co/07OJ74PJra",5814,2020-12-30,16:49:33,,0,0,0
1342268021121966082,2020-12-25 00:36:49,🎅🏾 https://t.co/fm62QJZ6hu,2929,2020-12-25,00:36:49,,0,0,0
1341762743376949248,2020-12-23 15:09:01,https://t.co/LgCX7v82ut,922,2020-12-23,15:09:01,,0,0,0
1341473994097176577,2020-12-22 20:01:38,Really fun and free on PS+ this month👍🏽 https://t.co/xJaHtuYBdE https://t.co/ipMy6Gw0zI,222,2020-12-22,20:01:38,,0,0,0
1341243238586470400,2020-12-22 04:44:41,"RT @CoriBush: I refuse to normalize an anti-democratic process where a few rich, predominantly white individuals negotiate behind closed do…",0,2020-12-22,04:44:41,,0,0,0
1341122053932527616,2020-12-21 20:43:09,RT @ZackSnyder: This movement is so powerful. Thank you for all of your amazing fundraising efforts to support #afsp https://t.co/G0RW6kE87B,0,2020-12-21,20:43:09,#afsp,0,0,0
1340666615101308929,2020-12-20 14:33:24,"Tune in today!🤗

#BORGLIFE https://t.co/SSLSTQj8jY",800,2020-12-20,14:33:24,#borglife,0,0,1
1340497671111491585,2020-12-20 03:22:04,"RT @BernieSanders: Maybe – just maybe – it’s time Congress listened to the American people and sent $1,200 survival checks to working class…",0,2020-12-20,03:22:04,,0,0,0
1340456194188713987,2020-12-20 00:37:15,"RT @poindxterlounge: So close!!!  Call a friend. Lol. But seriously, being able to add that donate button for @afspnational during our @ray…",0,2020-12-20,00:37:15,,0,0,0
1340449211767279617,2020-12-20 00:09:31,https://t.co/X9Md4yAATw https://t.co/nLZ7WtcM7u,319,2020-12-20,00:09:31,,0,0,0
1340381170954022913,2020-12-19 19:39:08,"I ❤️ OSF

@osfashland https://t.co/X2cDDPXxLE",442,2020-12-19,19:39:08,,0,0,0
1340351964836716552,2020-12-19 17:43:05,"Tomorrow is going to be an awesome day of livestreams! 

Join me on @poindxterlounge at 1pm EST and help us reach our $500,000 goal for The American Foundation for Suicide Prevention. 

We’re only 17k away, ya’ll! You can donate during any of the streams or at the link in my bio! https://t.co/QLebPDvCp9",1121,2020-12-19,17:43:05,,0,0,0
1339980262055227393,2020-12-18 17:06:04,RT @ReverendWarnock: Affordable health care is not radical.,0,2020-12-18,17:06:04,,0,0,0
1339719476422582272,2020-12-17 23:49:48,"And I’m thankful for you @_LeonardRoberts🙏🏽

I read your essay last night. It’s been on my mind nonstop. Thank you for giving voice and validation to the experiences of so many. https://t.co/P3rOlRGQmV",809,2020-12-17,23:49:48,,0,0,0
1339658806612127745,2020-12-17 19:48:43,"“You reach a point in life where you simply must take a stand.”

                        -Mamie Till-Mobley

I am beyond honored and excited to lend my voice to Women of the Movement. We need these stories now more than ever!

https://t.co/wiVESMpX6I",2249,2020-12-17,19:48:43,,0,0,0
1339607571892727808,2020-12-17 16:25:08,https://t.co/JprdS4yL4q https://t.co/vOnXRNMmlL,1676,2020-12-17,16:25:08,,0,0,0
1339203431173599232,2020-12-16 13:39:13,"RT @ReverendWarnock: Early voting is going strong, but we only have 20 days left until Election Day.

Hey @ossoff — should we do something…",0,2020-12-16,13:39:13,,0,0,0
1339009734414905345,2020-12-16 00:49:32,Yes! Yes! Yes! Yes! Yes! https://t.co/oGckfR33Af,260,2020-12-16,00:49:32,,0,0,0
1338964486850564103,2020-12-15 21:49:45,"My friend @SanfordMinusSon wrote something nice about me.

He’s obviously biased, but it really warmed my heart to read. 

And he’s not lying...my turns in boardgames can become inordinately long. You gotta wear down the competition🤣🤔😂

#BORGLIFE https://t.co/N0x1orUBUY",315,2020-12-15,21:49:45,#borglife,0,0,1
1338656173512421377,2020-12-15 01:24:37,🤬😉 https://t.co/SxWPQQf34d,4150,2020-12-15,01:24:37,,0,0,0
1338635203586232320,2020-12-15 00:01:17,"You may not have someone else’s idea of power, but you can still change things.

A&gt;E",2283,2020-12-15,00:01:17,,0,0,0
1338584482165764097,2020-12-14 20:39:44,"Tell your friends! Let’s do it, Georgia💪🏽 https://t.co/fqRRGqYerJ",312,2020-12-14,20:39:44,,0,0,0
1337883886995578881,2020-12-12 22:15:49,"Over 80 people were interviewed for @WarnerMedia’s Justice League investigation.

A fair, thorough, and protected process for witnesses was the first (and most important) step.

Ensuring that action is taken is the next.

Thank you to all who lent their voice!🙏🏽

A&gt;E",5099,2020-12-12,22:15:49,,0,0,0
1337569673030864897,2020-12-12 01:27:15,"There are still conversations that need to be had and resolutions that need to be found. 

Thank you all for your support and encouragement on this journey.

We are on our way.

More soon.

A&gt;E

3/3",3648,2020-12-12,01:27:15,,0,0,0
1337569672154275842,2020-12-12 01:27:15,"- And this statement (which truly belongs to ALL who participated in the investigation): 

“WarnerMedia appreciates you having the courage to come forward and assist the company with creating an inclusive and equitable work environment for it’s employees and partners.”

2/3",3032,2020-12-12,01:27:15,,0,0,0
1337569670963015680,2020-12-12 01:27:15,"The following was relayed to me on behalf of @WarnerMedia at 5pm EST today:

- The investigation of Justice League is now complete.

- It has lead to remedial action. 
(Some we’ve seen, and some that is still to come.)

1/3",4762,2020-12-12,01:27:15,,0,0,0
1337210315403124739,2020-12-11 01:39:18,RT @jayoliva1: Just dropped the latest animated series my studio Lex and Otis produced with Wildcard! The voice cast is insane! I’m co-show…,0,2020-12-11,01:39:18,,0,0,0
1337205931394949120,2020-12-11 01:21:52,🎊🙌🏽 @NiaDaCosta 🙌🏽🎊 https://t.co/K3TNKnBOjP,659,2020-12-11,01:21:52,,0,0,0
1337184389327970312,2020-12-10 23:56:16,RT @BernieSanders: Endless money for wars? No problem. Endless money for tax breaks for the rich? No problem. Endless money for corporate w…,0,2020-12-10,23:56:16,,0,0,0
1337069031422119938,2020-12-10 16:17:53,https://t.co/tH1w1gSSM2 https://t.co/W9lwas0Ika,144,2020-12-10,16:17:53,,0,0,0
1337039885925027840,2020-12-10 14:22:04,RT @kendrick38: Hey Fam! We’ve been trying to #BlockGarcetti from obtaining an appointment to Joe Biden’s cabinet. Mayor Garcetti’s policie…,0,2020-12-10,14:22:04,#blockgarcetti,0,0,0
1337038564056571910,2020-12-10 14:16:49,"RT @Kaepernick7: I’ve teamed up with @BenAndJerrys to serve up joy on the journey to justice!  

Today, we're excited to introduce Change t…",0,2020-12-10,14:16:49,,0,0,0
1336777762032521218,2020-12-09 21:00:29,"“Because if we in America have reached that point in our desperate culture when we must murder children, no matter for what reason or what color, we don’t deserve to survive, and probably won’t.”

                   -William Faulkner, 1956",453,2020-12-09,21:00:29,,0,0,0
1336685513353342978,2020-12-09 14:53:55,RT @BernieSanders: The choice is clear for Georgia voters.,0,2020-12-09,14:53:55,,0,0,0
